,sub_region_2,year_month,Retail/Recreation,Grocery/Pharmacy,Transit Stations,Workplaces,Residential,metro_label,date,PC1,PC2,year_month_dt
629,Mecklenburg County,2020-04,-21.466666666666665,7.083333333333333,-25.966666666666665,-28.266666666666666,4.652439024390244,0,2020-04-15 12:00:00.000000000,-0.0037385682397478898,-0.14261491774823373,2020-04-01
630,Mecklenburg County,2020-05,-5.645161290322581,20.20967741935484,-2.6774193548387095,-21.225806451612904,4.280487804878049,0,2020-05-16 00:00:00.000000000,1.6358139997828405,0.30146200117932825,2020-05-01
631,Mecklenburg County,2020-06,2.3666666666666667,19.533333333333335,18.466666666666665,-16.766666666666666,3.9085365853658534,0,2020-06-15 12:00:00.000000000,2.35883008560975,0.5719483828803651,2020-06-01
632,Mecklenburg County,2020-07,9.741935483870968,23.580645161290324,24.516129032258064,-20.677419354838708,3.5365853658536586,0,2020-07-16 00:00:00.000000000,2.698983574588352,0.7695115478364578,2020-07-01
633,Mecklenburg County,2020-08,5.9375,21.53125,20.9375,-16.3125,3.25,0,2020-08-08 12:00:00.000000000,2.6670744973244496,0.5535232968497944,2020-08-01
634,Mecklenburg County,2020-09,2.25,13.35,14.0,-14.25,3.847560975609756,0,2020-09-20 12:00:00.000000000,2.1820350147236485,0.2665415281621145,2020-09-01
635,Mecklenburg County,2020-10,2.774193548387097,12.790322580645162,10.451612903225806,-15.64516129032258,4.032258064516129,0,2020-10-16 00:00:00.000000000,2.0578688928530577,0.210261485744115,2020-10-01
636,Mecklenburg County,2020-11,0.9333333333333333,9.733333333333333,6.933333333333334,-16.8,6.566666666666666,0,2020-11-15 12:00:00.000000000,1.5400153533448475,0.35715441857006114,2020-11-01
637,Mecklenburg County,2020-12,-1.064516129032258,11.709677419354838,5.516129032258065,-21.06451612903226,9.516129032258064,0,2020-12-16 00:00:00.000000000,1.0578282937454642,0.7784303696733978,2020-12-01
638,Mecklenburg County,2021-01,-10.67741935483871,2.8225806451612905,-3.870967741935484,-18.29032258064516,11.0,0,2021-01-16 00:00:00.000000000,0.26249685406619133,0.5619446124865737,2021-01-01
639,Mecklenburg County,2021-02,-9.0,6.125,-4.5,-18.964285714285715,9.857142857142858,0,2021-02-14 12:00:00.000000000,0.518975906506061,0.4971874327177304,2021-02-01
640,Mecklenburg County,2021-03,10.35483870967742,19.241935483870968,10.387096774193548,-12.741935483870968,5.225806451612903,0,2021-03-16 00:00:00.000000000,2.5594570473974616,0.28795139792214847,2021-03-01
641,Mecklenburg County,2021-04,16.666666666666668,23.616666666666667,22.533333333333335,-14.633333333333333,4.1,0,2021-04-15 12:00:00.000000000,3.110456902075075,0.5379438318658499,2021-04-01
642,Mecklenburg County,2021-05,19.032258064516128,29.93548387096774,29.612903225806452,-11.193548387096774,4.451612903225806,0,2021-05-16 00:00:00.000000000,3.625014258242605,0.7668266481240583,2021-05-01
643,Mecklenburg County,2021-06,19.866666666666667,40.016666666666666,30.466666666666665,-6.3,3.6333333333333333,0,2021-06-15 12:00:00.000000000,4.332964769546201,0.7872526629557502,2021-06-01
644,Mecklenburg County,2021-07,21.741935483870968,44.854838709677416,36.806451612903224,-9.96774193548387,5.064516129032258,0,2021-07-16 00:00:00.000000000,4.355944739940912,1.2502573931361334,2021-07-01
645,Mecklenburg County,2021-08,14.290322580645162,43.774193548387096,25.451612903225808,-9.193548387096774,4.225806451612903,0,2021-08-16 00:00:00.000000000,4.046269954608834,0.9389650771196355,2021-08-01
646,Mecklenburg County,2021-09,13.2,41.68333333333333,13.7,-7.7,4.1,0,2021-09-15 12:00:00.000000000,3.8662890368183,0.5652476525380744,2021-09-01
647,Mecklenburg County,2021-10,11.516129032258064,40.38709677419355,13.096774193548388,-4.645161290322581,3.129032258064516,0,2021-10-16 00:00:00.000000000,3.980495782638322,0.3771046539748197,2021-10-01
648,Mecklenburg County,2021-11,9.7,40.35,20.566666666666666,-7.6,5.266666666666667,0,2021-11-15 12:00:00.000000000,3.671305260958795,0.8681532280985632,2021-11-01
649,Mecklenburg County,2021-12,9.193548387096774,37.983870967741936,18.322580645161292,-11.709677419354838,6.741935483870968,0,2021-12-16 00:00:00.000000000,3.2170974095606737,1.012297169711632,2021-12-01
650,Mecklenburg County,2022-01,-10.483870967741936,20.580645161290324,-7.580645161290323,-11.225806451612904,11.451612903225806,0,2022-01-16 00:00:00.000000000,1.1513494601150893,0.704893505384702,2022-01-01
651,Mecklenburg County,2022-02,5.464285714285714,33.607142857142854,17.821428571428573,0.14285714285714285,5.035714285714286,0,2022-02-14 12:00:00.000000000,3.5973129060944093,0.5058892147733122,2022-02-01
652,Mecklenburg County,2022-03,11.064516129032258,35.75806451612903,23.838709677419356,5.32258064516129,4.32258064516129,0,2022-03-16 00:00:00.000000000,4.229200020692423,0.43391402435979487,2022-03-01
653,Mecklenburg County,2022-04,18.3,41.13333333333333,32.1,4.0,4.155555555555556,0,2022-04-15 12:00:00.000000000,4.731903431807168,0.6738745183776026,2022-04-01
654,Mecklenburg County,2022-05,17.838709677419356,40.596774193548384,30.35483870967742,4.548387096774194,4.591397849462366,0,2022-05-16 00:00:00.000000000,4.655892707488086,0.65397859783674,2022-05-01
655,Mecklenburg County,2022-06,20.1,44.11666666666667,35.266666666666666,2.8,4.433333333333334,0,2022-06-15 12:00:00.000000000,4.863603123501914,0.8476732229198657,2022-06-01
656,Mecklenburg County,2022-07,20.451612903225808,46.29032258064516,37.61290322580645,-5.32258064516129,7.516129032258065,0,2022-07-16 00:00:00.000000000,4.334076885361681,1.4433819222942021,2022-07-01
657,Mecklenburg County,2022-08,19.677419354838708,43.12903225806452,33.45161290322581,0.6129032258064516,7.419354838709677,0,2022-08-16 00:00:00.000000000,4.402768882415256,1.1304657025771745,2022-08-01
658,Mecklenburg County,2022-09,16.766666666666666,45.1,31.133333333333333,1.5666666666666667,5.133333333333334,0,2022-09-15 12:00:00.000000000,4.6181861107602415,0.9053281711617751,2022-09-01
659,Mecklenburg County,2022-10,16.733333333333334,39.96666666666667,30.4,3.8,5.133333333333334,0,2022-10-08 00:00:00.000000000,4.510450975224802,0.7274749399264231,2022-10-01
660,Montgomery County,2020-02,10.133333333333333,6.466666666666667,8.0,6.266666666666667,-0.8,0,2020-02-22 00:00:00.000000000,3.4492362046973297,-1.0785024244907668,2020-02-01
661,Montgomery County,2020-03,-19.580645161290324,4.483870967741935,3.2580645161290325,-19.483870967741936,8.241935483870968,0,2020-03-16 00:00:00.000000000,0.33467564523688675,0.6535722969686167,2020-03-01
662,Montgomery County,2020-04,-49.06666666666667,-14.166666666666666,-32.36666666666667,-51.6,23.033333333333335,0,2020-04-15 12:00:00.000000000,-4.610125068018032,1.972990766974362,2020-04-01
663,Montgomery County,2020-05,-38.903225806451616,-4.129032258064516,-21.35483870967742,-43.03225806451613,16.5,0,2020-05-16 00:00:00.000000000,-2.750736821007983,1.4814677076018317,2020-05-01
664,Montgomery County,2020-06,-29.466666666666665,-0.5333333333333333,-7.4,-32.7,11.5,0,2020-06-15 12:00:00.000000000,-1.198423166460778,1.0475453312401757,2020-06-01
665,Montgomery County,2020-07,-25.451612903225808,7.451612903225806,-5.483870967741935,-35.58064516129032,9.516129032258064,0,2020-07-16 00:00:00.000000000,-0.6686682553519857,1.0843373085586123,2020-07-01
