retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,metro_label,date,sub_region_2
-26.0,-7.0,6.0,-15.0,4.0,1,2020-11-21,Albemarle County
-22.0,-14.0,-19.0,-22.0,6.0,1,2020-11-22,Albemarle County
-16.0,-1.0,-33.0,-42.0,13.0,1,2020-11-23,Albemarle County
-14.0,11.0,-18.0,-41.0,12.0,1,2020-11-24,Albemarle County
-7.0,28.0,-10.0,-50.0,12.0,1,2020-11-25,Albemarle County
-77.0,-44.0,-55.0,-85.0,24.0,1,2020-11-26,Albemarle County
-31.0,-27.0,-9.0,-64.0,20.0,1,2020-11-27,Albemarle County
-34.0,-20.0,16.0,-20.0,5.0,1,2020-11-28,Albemarle County
-30.0,-26.0,2.0,-25.0,7.0,1,2020-11-29,Albemarle County
-25.0,-14.0,-21.0,-45.0,16.0,1,2020-11-30,Albemarle County
-22.0,-5.0,-11.0,-42.0,14.0,1,2020-12-01,Albemarle County
-25.0,-11.0,-23.0,-41.0,15.0,1,2020-12-02,Albemarle County
-24.0,-5.0,-13.0,-42.0,14.0,1,2020-12-03,Albemarle County
-24.0,-15.0,-14.0,-39.0,15.0,1,2020-12-04,Albemarle County
-28.0,-8.0,6.0,-13.0,6.0,1,2020-12-05,Albemarle County
-26.0,-15.0,-12.0,-20.0,7.0,1,2020-12-06,Albemarle County
-27.0,-11.0,-23.0,-44.0,15.0,1,2020-12-07,Albemarle County
-24.0,-6.0,-16.0,-40.0,14.0,1,2020-12-08,Albemarle County
-23.0,-8.0,-19.0,-41.0,14.0,1,2020-12-09,Albemarle County
-23.0,-6.0,-19.0,-41.0,14.0,1,2020-12-10,Albemarle County
-22.0,-13.0,-14.0,-41.0,15.0,1,2020-12-11,Albemarle County
-27.0,-6.0,16.0,-12.0,6.0,1,2020-12-12,Albemarle County
-25.0,-16.0,-7.0,-23.0,6.0,1,2020-12-13,Albemarle County
-23.0,-7.0,-30.0,-44.0,16.0,1,2020-12-14,Albemarle County
-12.0,20.0,-14.0,-40.0,12.0,1,2020-12-15,Albemarle County
-65.0,-47.0,-51.0,-67.0,30.0,1,2020-12-16,Albemarle County
-29.0,-14.0,-11.0,-50.0,18.0,1,2020-12-17,Albemarle County
-19.0,-7.0,12.0,-41.0,15.0,1,2020-12-18,Albemarle County
-24.0,0.0,50.0,-12.0,6.0,1,2020-12-19,Albemarle County
-21.0,-14.0,16.0,-20.0,7.0,1,2020-12-20,Albemarle County
-8.0,10.0,-2.0,-47.0,13.0,1,2020-12-21,Albemarle County
-7.0,15.0,11.0,-48.0,13.0,1,2020-12-22,Albemarle County
1.0,28.0,13.0,-51.0,12.0,1,2020-12-23,Albemarle County
-29.0,14.0,-18.0,-69.0,21.0,1,2020-12-24,Albemarle County
-91.0,-80.0,-73.0,-86.0,30.0,1,2020-12-25,Albemarle County
-42.0,-26.0,14.0,-27.0,10.0,1,2020-12-26,Albemarle County
-36.0,-31.0,7.0,-24.0,9.0,1,2020-12-27,Albemarle County
-22.0,-13.0,-14.0,-54.0,16.0,1,2020-12-28,Albemarle County
-21.0,-8.0,-9.0,-53.0,16.0,1,2020-12-29,Albemarle County
-18.0,-2.0,-13.0,-54.0,16.0,1,2020-12-30,Albemarle County
-15.0,19.0,-23.0,-60.0,17.0,1,2020-12-31,Albemarle County
-57.0,-49.0,-49.0,-78.0,31.0,1,2021-01-01,Albemarle County
-34.0,-18.0,15.0,-23.0,7.0,1,2021-01-02,Albemarle County
-37.0,-29.0,-9.0,-31.0,11.0,1,2021-01-03,Albemarle County
-27.0,-9.0,-22.0,-45.0,15.0,1,2021-01-04,Albemarle County
-27.0,-11.0,-23.0,-44.0,15.0,1,2021-01-05,Albemarle County
-29.0,-16.0,-26.0,-45.0,16.0,1,2021-01-06,Albemarle County
-29.0,-9.0,-25.0,-45.0,17.0,1,2021-01-07,Albemarle County
-30.0,-20.0,-32.0,-43.0,18.0,1,2021-01-08,Albemarle County
-32.0,-13.0,-4.0,-19.0,9.0,1,2021-01-09,Albemarle County
-32.0,-23.0,-19.0,-25.0,9.0,1,2021-01-10,Albemarle County
-30.0,-15.0,-32.0,-44.0,16.0,1,2021-01-11,Albemarle County
-29.0,-11.0,-25.0,-43.0,15.0,1,2021-01-12,Albemarle County
